observation_date,GDP,INFLATION,INTEREST_RATE
1960-01-01,542.382,1.45797598627791,3.53
1961-01-01,562.21,1.07072414764724,3
1962-01-01,603.922,1.19877334820186,3
1963-01-01,637.452,1.23966942148753,3.23
1964-01-01,684.462,1.27891156462591,3.55
1965-01-01,742.29,1.58516926383662,4.04
1966-01-01,813.414,3.0150753768844,4.5
1967-01-01,859.956,2.77278562259309,4.19
1968-01-01,940.647,4.27179615288537,5.16
1969-01-01,1017.615,5.46238620028745,5.87
1970-01-01,1073.311,5.83825533848251,5.95
1971-01-01,1164.85,4.29276668813051,4.88
1972-01-01,1279.112,3.27227824655283,4.5
1973-01-01,1425.376,6.17776006377038,6.44
1974-01-01,1545.243,11.0548048048048,7.83
1975-01-01,1684.905,9.14314686496535,6.25
1976-01-01,1873.413,5.74481263549085,5.5
1977-01-01,2081.825,6.5016839947284,5.46
1978-01-01,2351.599,7.63096383885606,7.46
1979-01-01,2627.326,11.2544711292795,10.28
1980-01-01,2857.309,13.5492019749684,11.77
1981-01-01,3207.041,10.3347153402771,13.42
1982-01-01,3343.789,6.13142700027493,11.02
1983-01-01,3634.037,3.21243523316065,8.5
1984-01-01,4037.614,4.30053547523429,8.8
1985-01-01,4338.981,3.54564415209365,7.69
1986-01-01,4579.633,1.89804772234276,6.33
1987-01-01,4855.216,3.6645632175169,5.66
1988-01-01,5236.438,4.07774110744413,6.2
1989-01-01,5641.58,4.82700303008944,6.92
1990-01-01,5963.145,5.39795643990325,6.98
1991-01-01,6158.129,4.23496396453849,5.45
1992-01-01,6520.327,3.02881967814969,3.25
1993-01-01,6858.559,2.95165696638559,3
1994-01-01,7287.237,2.60744159215453,3.6
1995-01-01,7639.749,2.80541968853662,5.21
1996-01-01,8073.122,2.93120419993441,5.02
1997-01-01,8577.553,2.33768993730735,5
1998-01-01,9062.817,1.55227909874364,4.92
1999-01-01,9631.172,2.18802719697358,4.62
2000-01-01,10250.952,3.37685727149929,5.73
2001-01-01,10581.929,2.82617111885407,3.41
2002-01-01,10929.108,1.58603162650601,1.17
2003-01-01,11456.45,2.27009497336115,2.1
2004-01-01,12217.196,2.67723669309172,2.4
2005-01-01,13039.197,3.3927468454955,4.25
2006-01-01,13815.583,3.22594410070404,6.02
2007-01-01,14474.227,2.85267248150138,5.79
2008-01-01,14769.862,3.839100296651,2.17
2009-01-01,14478.067,-0.355546266299747,0.5
2010-01-01,15048.971,1.6400434423899,0.73
2011-01-01,15599.732,3.156841568622,0.75
2012-01-01,16253.97,2.06933726526067,0.75
2013-01-01,16880.683,1.46483265562717,0.75
2014-01-01,17608.138,1.62222297740817,0.75
2015-01-01,18295.019,0.118627135552451,0.77
2016-01-01,18804.913,1.26158320570536,1.02
2017-01-01,19612.103,2.13011000365961,1.63
2018-01-01,20656.516,2.44258329692817,2.46
2019-01-01,21539.982,1.81221007526021,2.75
2020-01-01,21375.282,1.23358439630629,0.58
